"Sampling Amount","MaxDepth","Fault Rate"
"10","25","6.07428153941375"
"20","25","4.58818344545787"
"30","25","3.85643612672199"
"40","25","3.59149626535712"
"50","25","3.30311792919927"
"60","25","3.35062747586257"
"70","25","3.0904221297645"
"80","25","3.13500157127164"
"90","25","3.24197930457439"
"100","25","3.10958589856953"
"110","25","2.0137299579814"
"120","25","2.07237860602118"
"130","25","1.95192057778861"
"140","25","2.00599411970484"
"150","25","1.92326171625639"
"160","25","2.00195652925086"
"170","25","1.87941912534932"
"180","25","1.96640661266529"
"190","25","1.94039054150584"
"200","25","1.96476119757542"
"210","25","1.88705784023875"
"220","25","1.96333676617889"
"230","25","1.89091571716705"
"240","25","1.92522357272563"
"250","25","1.85634745795669"
"260","25","1.89824985921082"
"270","25","1.84238007745478"
"280","25","1.90468364191053"
"290","25","1.8213130950406"
"300","25","1.87820058032676"
"310","25","1.83217792149291"
"320","25","1.89269246692935"
"330","25","1.75353702563639"
"340","25","1.80562943205331"
"350","25","1.72786916111535"
"360","25","1.76893788114701"
"370","25","1.72845180298532"
"380","25","1.80716480921534"
"390","25","1.74500278398556"
"400","25","1.70722790012639"
"410","25","1.63935924251532"
"420","25","1.7022286481766"
"430","25","1.63661850419359"
"440","25","1.66489042097063"
"450","25","1.61475202726856"
"460","25","1.67716743191631"
"470","25","1.56984708032294"
"480","25","1.62640123867793"
"490","25","1.58901748448836"
"500","25","1.60814076321467"
"510","25","1.55368670600741"
