"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"1","25","627.066402544909"
"2","25","523.515468344898"
"3","25","402.957274404166"
"4","25","374.966728350379"
"5","25","257.873521979851"
"6","25","384.241316889554"
"7","25","333.168631768637"
"8","25","328.488258816801"
"9","25","354.132287021428"
"10","25","267.539709255678"
"11","25","195.286972398159"
"12","25","197.259815649758"
"13","25","218.492589988211"
"14","25","134.29764023955"
"15","25","114.749868569224"
"16","25","113.469316299581"
"17","25","96.6074992787229"
"18","25","121.672383931456"
"19","25","97.9009450586105"
"20","25","97.8372898387924"
"21","25","94.9531688504579"
"22","25","110.233495589667"
"23","25","94.0345130442889"
"24","25","93.4946983215555"
"25","25","118.161592628117"
"26","25","133.228142370856"
"27","25","131.914704751242"
"28","25","115.610619310899"
"29","25","95.0162416783698"
"30","25","88.4704494037883"
"31","25","76.076883421188"
"32","25","74.658571466747"
