"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"1","25","52.5530042379484"
"2","25","53.5427374461924"
"3","25","56.4835291387149"
"4","25","56.664835314946"
"5","25","72.5833712496889"
"6","25","59.0436804891563"
"7","25","50.3044702970634"
"8","25","34.4644222188285"
"9","25","36.6596333256907"
"10","25","38.898922703988"
"11","25","28.8476327190734"
"12","25","27.3084418853525"
"13","25","24.7734381554216"
"14","25","22.5799805880429"
"15","25","23.7432340684137"
"16","25","20.3392884212566"
"17","25","20.2370928528467"
"18","25","17.5802057269733"
"19","25","14.7016381354164"
"20","25","12.6027681773452"
"21","25","8.84991785607347"
"22","25","8.62087226233035"
"23","25","7.70033660034113"
