"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"1","25","7.73976205995195"
"2","25","6.49060008602462"
"3","25","6.5302434446811"
"4","25","5.95326198475435"
"5","25","6.22245870256805"
"6","25","6.58611642580429"
"7","25","6.16370002400444"
"8","25","6.26174177766714"
"9","25","6.42183809002134"
"10","25","6.07428153941375"
"11","25","5.760555390677"
"12","25","5.9630600473765"
"13","25","5.82501351129093"
"14","25","5.62708847915425"
"15","25","5.58065023080597"
"16","25","5.14587662179065"
