"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"1","25","6.80865665081367"
"2","25","5.6445451166991"
"3","25","5.00017767486133"
"4","25","4.71110215501195"
"5","25","6.60240731225815"
"6","25","6.56691177829568"
"7","25","5.99338385828723"
"8","25","5.88834386759123"
"9","25","6.03063378008861"
"10","25","6.12742751354458"
"11","25","6.0219890226442"
"12","25","5.88718070831509"
"13","25","6.16786227400865"
"14","25","5.70132843573912"
"15","25","5.79035642709634"
"16","25","5.51942733900878"
"17","25","5.60543868385001"
"18","25","5.50233464212522"
"19","25","5.53850405022373"
"20","25","5.45330555754242"
"21","25","5.2840457642697"
"22","25","5.33987879477256"
"23","25","5.43864331642948"
"24","25","5.53022374924138"
"25","25","5.09682188372508"
"26","25","5.18255801504427"
"27","25","5.16229242657802"
"28","25","5.12290238628424"
"29","25","5.15417249044342"
"30","25","5.14409145404147"
"31","25","5.08774921949186"
"32","25","5.23826219953993"
"33","25","5.16938578904414"
"34","25","5.23740607591119"
"35","25","4.80707813965554"
"36","25","4.93487490206626"
"37","25","4.79799349877797"
"38","25","4.85662291843548"
"39","25","4.81236654764522"
"40","25","4.75911246640257"
"41","25","4.8196367547091"
"42","25","4.62705834301455"
"43","25","4.64733701113424"
"44","25","4.78421321940045"
"45","25","4.70953759571256"
"46","25","4.64993525298376"
"47","25","4.53305089154464"
"48","25","4.52849385091487"
"49","25","4.58061353733489"
"50","25","4.53170077070268"
"51","25","4.55966443744142"
"52","25","4.60997064989655"
"53","25","4.61119483336461"
"54","25","4.61287780958268"
"55","25","4.58419935149939"
"56","25","4.63836276233328"
"57","25","4.54212289949622"
"58","25","4.59329278773188"
"59","25","4.67508443246909"
"60","25","4.58705101362004"
"61","25","4.6384135578137"
