"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"1","25","49.6071084965753"
"2","25","47.5564235447635"
"3","25","40.2235628929993"
"4","25","41.277773538065"
"5","25","28.0190226353255"
"6","25","28.0150036611066"
"7","25","23.6144646092737"
"8","25","20.646666073198"
"9","25","16.8526375562119"
"10","25","14.6344227731018"
"11","25","13.2145309686109"
"12","25","14.3535139050324"
"13","25","14.3048103207442"
"14","25","13.1956059948638"
"15","25","12.8070486968381"
"16","25","10.9786672521157"
"17","25","10.3760744242202"
"18","25","9.9115466255767"
"19","25","9.93121905538262"
"20","25","9.4619243383037"
"21","25","8.65058450000332"
"22","25","8.30869136052779"
"23","25","8.5620613410207"
