"Sampling Amount","Fault Rate"
"1","36.0193333867763"
"2","37.0819618233974"
"3","34.135393040242"
"4","32.0020620525002"
"5","13.4137540640683"
"6","21.0891711610586"
"7","22.2051118749174"
"8","3.23102709395082"
"9","21.5169111058943"
"10","3.76446238273338"
"11","3.71987800887338"
"12","20.4629610881956"
"13","3.4981111684982"
"14","4.12940426550615"
"15","4.35853786358569"
"16","4.24879617628924"
"17","4.06950628199563"
"18","3.52108326021507"
"19","3.55786692483064"
"20","3.48383359244543"
"21","3.50575206565489"
"22","3.60438087144183"
"23","3.55105161733004"
"24","4.28241984332086"
"25","3.60333461595765"
"26","3.62469724580557"
"27","3.59040695010517"
