"Sampling Amount","Fault Rate"
"1","6.14945512165217"
"2","4.01910495488813"
"3","4.15981716985245"
"4","3.85844304533078"
"5","4.07574537740583"
"6","5.67723927171918"
"7","3.60909434086016"
"8","3.54162272966505"
"9","2.63882842406017"
"10","2.3240628691889"
"11","2.31519690704165"
"12","2.39864002293296"
"13","2.01292469935996"
"14","2.36215352553455"
"15","2.69387889257839"
"16","4.44242319253022"
"17","2.83320067674487"
"18","2.45945968832599"
"19","1.29960453493889"
"20","1.28164280730942"
