"Sampling Amount","Fault Rate"
"1","53.7288327103876"
"2","47.8928449706768"
"3","47.8842177602957"
"4","23.3131242303499"
"5","52.4569779363414"
"6","49.6326293498773"
"7","12.7585024224936"
"8","13.0578593073524"
"9","11.7978659375351"
"10","11.5482308209102"
"11","10.3696373740384"
"12","12.7982058165394"
"13","10.0246934904235"
"14","9.97882939537449"
"15","9.96482629669242"
"16","10.4773211009845"
"17","9.04535210393685"
"18","7.36063205687931"
"19","6.99050154783853"
"20","7.130040329488"
"21","6.79282361373515"
"22","6.86250513016523"
"23","6.71984991824927"
"24","6.80882257626332"
"25","6.4601698901138"
"26","5.0140939568088"
"27","5.06878534046279"
"28","6.31733199746941"
"29","6.29348764077628"
